group,item,spec,qty,unit,basis,eur_low,eur_high,reference
Arm drives,"Stepper motor, NEMA17","42 mm, ~0.45 N·m holding, 1.5 A, 5 mm shaft: base (q1) and elbow (q2)",2,pcs,"PLAN §4.1; the base joint needs 0.26 N·m (§3.1), 0.05 N·m at the motor through 5:1",10,16,StepperOnline NEMA17 1.5 A: US$10.99–12.99
Arm drives,"Stepper motor, NEMA17 or NEMA14",lift (z) and tool yaw (q4),2,pcs,PLAN §4.1,9,16,
Arm drives,"GT2 pulley 16T, 6 mm belt, 5 mm bore",motor pulleys for the 5:1 base and elbow drives,2,pcs,PLAN §4.1 asks 20T:100T; 16T:80T is the same 5:1 from common sizes (100T is rarely stocked),2,4,
Arm drives,"GT2 pulley 80T, 6 mm belt","joint pulleys, bore to suit the joint shaft (CAD)",2,pcs,5:1 with the 16T,6,15,
Arm drives,"GT2 pulleys 20T + 60T, 6 mm belt","tool yaw, 3:1",1,set,PLAN §4.1,5,10,
Arm drives,"GT2 closed belts, 6 mm",lengths from the pulley centre distances (CAD); the elbow belt runs through link 1,3,pcs,PLAN §4.1,3,8,
Arm drives,Lead screw T8 + brass nut,"150 mm long for 110 mm of stroke, with a coupler",1,set,PLAN §4.1 (a belt is the alternative),8,15,
Arm drives,Linear guide for the lift,"e.g. MGN9 rail 150 mm + carriage, or two 8 mm rods + bushings",1,set,Not in the plan yet: the lift needs a guide (CAD),12,30,
Arm drives,"Bearings, preloaded pairs","base, elbow, lift and yaw joints; sizes from the shafts (CAD)",8,pcs,PLAN §4.1 (a pair per joint),2,8,
Arm drives,Hard stops,pins or blocks at q1 -103°/-8° and q2 58°/150°,4,pcs,"PLAN §4.1, configs/poc.toml joint limits",1,3,
Arm structure,Walnut for the links,"link 1: 230 mm between axes, 52 mm wide; link 2: 230 mm, 42 mm wide",2,pcs,configs/poc.toml [arm.scara],8,20,
Arm structure,Aluminium flat bar,"laminated under each link, ~282 mm long; section from a stiffness check (not done)",2,pcs,PLAN §4.1; the twin assumes rigid links (§8),4,10,
Arm structure,Column,"walnut, Ø90 mm, ~212 mm from the base plate to the links",1,pcs,configs/poc.toml base_radius and link_height,15,40,
Arm structure,Hubs and motor mounts,3D-printed or turned,1,set,PLAN §5,10,25,
